class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.5564585,0.0001185481,21.6769,0.10728130000000001,0.1105202,19.99389,0.04100097,0.07645734
GALAXY,0.05020094,7.542399000000001e-06,17.52936,0.006153021,0.31589179999999994,16.71915,0.005067925,0.2185325
QSO,2.379653,0.0007949891,21.3497,0.05229102,0.05796948,21.24393,0.07812117,0.04010302
GALAXY,0.6785871,0.000176209,23.40932,0.5413149,0.07613538,20.84675,0.08514145,0.05267011
QSO,3.100568,0.0003823746,19.71125,0.01395075,0.06871734,19.39722,0.01450378,0.04753834
GALAXY,0.5589568,0.0001786427,22.234289999999998,0.1680316,0.15573420000000002,20.6643,0.06723479,0.1077362
GALAXY,0.5163300999999999,0.0001268661,21.41357,0.0930628,0.1293539,19.85519,0.03692846,0.08948642
GALAXY,0.5388729999999999,9.862664e-05,22.93336,0.17959560000000002,0.24763449999999998,20.94136,0.05028165,0.1713124
GALAXY,0.37470690000000006,7.37898e-05,21.38345,0.06198075,0.1327356,19.520960000000002,0.01817949,0.09182586
GALAXY,0.5997708,0.0003282054,22.700329999999997,0.2758716,0.2053103,20.90635,0.07746973,0.1420327
QSO,0.6970029999999999,0.0001245551,20.40973,0.02290649,0.1372779,20.15887,0.024290700000000002,0.09496822
GALAXY,0.14799210000000002,1.8901210000000002e-05,18.401320000000002,0.01255869,0.1986612,17.54055,0.009003816,0.1374329
GALAXY,0.3230715,6.373601e-05,20.61441,0.0450061,0.1543165,18.91656,0.01572163,0.10675539999999999
GALAXY,0.05531426,7.703975000000001e-06,16.57541,0.004527493,0.1916167,15.78159,0.003758586,0.1325595
QSO,3.960253,0.00033395260000000003,19.70127,0.01488074,0.2181496,18.65085,0.009702766,0.1509149
GALAXY,0.08253472,9.510971e-06,17.48995,0.005927878,0.08836473,16.94585,0.005680489,0.06113031
GALAXY,0.6632357,0.00021656080000000003,22.81606,0.3753915,0.09985097,20.61415,0.08916560000000001,0.06907644
GALAXY,0.597128,0.0001070924,22.2055,0.1179983,0.09775177,20.79016,0.05017039,0.06762422
GALAXY,0.7016323,0.000173881,20.92237,0.06930096,0.10466610000000001,20.19387,0.05897892,0.0724075
GALAXY,0.47281490000000004,9.003493000000001e-05,22.61297,0.1776149,0.1066507,20.59777,0.04415276,0.07378048
GALAXY,0.602035,0.0003605854,23.6129,0.818543,0.22062510000000002,21.21412,0.1536271,0.1526274
GALAXY,0.6076378,0.0001743843,22.12879,0.1270384,0.06073748,20.63296,0.05103682,0.04201791
GALAXY,0.2779296,3.587174000000001e-05,20.0155,0.03484302,0.09668186,18.4219,0.01432898,0.06688406
GALAXY,0.5450564,0.0002684742,22.06746,0.1423129,0.05852179,20.35792,0.04871614,0.0404851
GALAXY,0.6452542,0.0002141171,23.16647,0.3677289,0.1620707,21.29865,0.1017416,0.11211969999999999
GALAXY,0.02544694,1.0517460000000001e-05,16.05068,0.0038352890000000004,0.07897232,15.6088,0.003827684,0.05463268
GALAXY,0.02849322,6.513293e-06,18.01632,0.006261831,0.09909631,17.518,0.005713899000000001,0.06855436
QSO,1.275176,0.0002749692,18.78547,0.007968883000000001,0.0682807,18.56859,0.00833515,0.04723628
QSO,2.334367,0.0005429814,19.195339999999998,0.009766729,0.11147280000000001,19.08717,0.01117712,0.07711639
GALAXY,0.09639881,1.939371e-05,17.5346,0.006511545,0.09776233,16.59395,0.0046038929999999995,0.06763153
GALAXY,0.6993723000000001,0.0002800977,22.71677,0.2728572,0.05225321,21.30044,0.1187796,0.03614853
GALAXY,0.31159359999999997,8.643103000000002e-05,20.503870000000003,0.04908898,0.07157339,18.75284,0.01678871,0.04951414
GALAXY,0.09176338,6.517585e-06,17.854860000000002,0.005750746,0.1105499,17.72768,0.006428294,0.07647794
GALAXY,0.3679106,0.00011472190000000001,20.67001,0.04701869,0.03782011,18.88648,0.01589906,0.02616378
GALAXY,0.44861009999999996,0.00012031700000000001,22.02063,0.1286897,0.03477778,20.302979999999998,0.04263819,0.02405911
