class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.5170384,0.0001179549,21.90026,0.11926120000000001,0.10369400000000001,20.05751,0.03766688,0.07173499
GALAXY,0.5985808000000001,0.0002447641,22.6843,0.2717513,0.1268344,21.05666,0.08518918,0.08774347
GALAXY,0.08062341,2.310029e-05,17.64595,0.00640399,0.07819125,16.71602,0.004626748,0.05409234
GALAXY,0.6003699,0.0001208,22.2822,0.129172,0.07561013,20.55454,0.0455,0.05230674
GALAXY,0.5091475000000001,0.0001615634,22.229960000000002,0.15932620000000003,0.19501,20.57174,0.05466549,0.134907
GALAXY,0.1703179,4.464589e-05,19.00565,0.01559377,0.1858872,17.78396,0.009253856999999999,0.12859589999999999
QSO,2.5028240000000004,0.0006596267,21.92761,0.07886565,0.184523,21.62291,0.08225126,0.1276522
GALAXY,0.09625427,1.7987020000000004e-05,18.27906,0.009113163,0.07242855,17.51315,0.007488598000000001,0.05010573
GALAXY,0.3874678,6.870661999999999e-05,21.25467,0.07395387,0.1164173,19.49359,0.02499467,0.08053697
QSO,2.558227,0.00044767419999999997,20.9171,0.04541936,0.1692789,20.59958,0.05224414,0.11710639999999999
QSO,2.415849,0.0008349058999999999,21.81523,0.07511368,0.1913259,21.61854,0.09377889,0.1323584
GALAXY,0.7377760999999999,0.0003130662,23.130760000000002,0.47851099999999996,0.1214595,21.17849,0.10990950000000001,0.08402515
GALAXY,0.6740908,0.0001437754,22.815360000000002,0.391848,0.124299,20.54521,0.06804733,0.08598948
GALAXY,0.4977014,0.00017531009999999998,22.4576,0.2305154,0.04227546,20.58817,0.07265044,0.02924597
GALAXY,0.5344852,0.0001341665,21.44579,0.1433892,0.05419869,19.71119,0.04220361,0.03749441
GALAXY,0.5111653,0.0001025353,22.2729,0.1286823,0.08905996,20.62446,0.04790119,0.06161126
QSO,2.59145,0.0009447914,21.95618,0.07627396,0.08862074,21.80359,0.08875669,0.06130742
GALAXY,0.5634585999999999,0.0001679253,22.924429999999997,0.24910820000000003,0.07232017,20.96635,0.06745449,0.05003076
GALAXY,0.120903,1.107622e-05,18.481939999999998,0.009950561,0.10858820000000001,17.55922,0.007046784,0.07512081
QSO,2.39079,0.001195551,21.316760000000002,0.04112209,0.02425504,21.16702,0.05251388,0.01677952
QSO,0.34272009999999997,3.209487e-05,18.9362,0.01052064,0.06636950000000001,18.64656,0.01078953,0.04591411
GALAXY,0.20464949999999998,3.7810929999999996e-05,19.01379,0.01606846,0.19773759999999999,17.715239999999998,0.008482317,0.136794
GALAXY,0.2929236,3.591277e-05,19.79241,0.02544081,0.16387939999999998,18.274420000000003,0.01131111,0.113371
GALAXY,0.599942,0.000252031,22.43947,0.1838849,0.139504,21.36884,0.11140719999999998,0.09650824
GALAXY,0.6923553000000001,2.887105e-05,22.31222,0.10198430000000001,0.105521,21.5591,0.08481094,0.07299891
GALAXY,0.06558294,7.091647e-06,17.25463,0.005629775,0.03589256,16.8097,0.005487205,0.02483031
GALAXY,0.09607293,7.964138000000001e-06,18.14282,0.008141303,0.04714038,17.66635,0.007943416,0.0326115
GALAXY,0.5583891,0.00020235860000000002,22.26636,0.1430023,0.03474393,20.825979999999998,0.0636545,0.02403569
GALAXY,0.5406114000000001,0.0002190544,22.69827,0.1757392,0.13134189999999998,21.19238,0.06732741,0.09086172
GALAXY,0.5928315,0.00017324849999999999,22.516189999999998,0.1925667,0.09990253,20.68565,0.05894028,0.06911211
GALAXY,0.1892989,3.481636e-05,18.78155,0.01390488,0.13635029999999998,17.48242,0.007498736,0.0943265
GALAXY,0.5131571,0.0001413934,21.8935,0.1301425,0.12746580000000002,20.47508,0.05273346,0.08818023
QSO,0.570666,0.0001769486,21.139670000000002,0.04576119,0.1998321,20.81864,0.04933013,0.13824289999999997
GALAXY,0.5342753,0.00016477849999999998,22.52916,0.1990563,0.1237901,20.61381,0.05725218,0.08563743
GALAXY,0.04873823,1.55613e-05,17.10219,0.004983148,0.15194570000000002,16.2397,0.0037967609999999996,0.10511530000000001
GALAXY,0.5649371,0.00016979400000000002,21.55131,0.1307696,0.07857135,20.28217,0.06281994,0.0543553
QSO,2.3032630000000003,0.0004970207,21.68207,0.06467053,0.08850714,21.52574,0.07996456,0.06122883
GALAXY,0.5320986999999999,0.00017099599999999997,21.800079999999998,0.18979720000000003,0.1178943,20.132179999999998,0.06748758,0.0815587
GALAXY,0.07009272,1.128251e-05,17.92566,0.01006313,0.140786,17.393179999999997,0.009753139000000001,0.09739508
GALAXY,0.1388989,1.277888e-05,17.85291,0.0075691859999999994,0.07541054,17.08219,0.005889418,0.05216866
QSO,2.016218,0.0006175552,19.09725,0.01102672,0.148503,19.00538,0.01195006,0.1027337
GALAXY,0.1472364,3.775702e-05,18.70928,0.01566741,0.1610906,17.66668,0.009119526,0.11144169999999999
GALAXY,0.14820129999999998,6.888126e-05,20.91476,0.05597605,0.09100889999999999,19.27749,0.02003215,0.06295954
GALAXY,0.2857485,6.103491e-05,19.69156,0.03104294,0.1086114,18.09011,0.01209452,0.07513689
GALAXY,0.606124,0.0002492593,23.00284,0.35830409999999996,0.1537737,21.225170000000002,0.1003202,0.10638
GALAXY,0.21006100000000003,3.724387e-05,19.05074,0.01522867,0.167685,17.74549,0.007983765,0.1160037
GALAXY,0.8203450000000001,0.0002822282,23.54992,0.47680730000000004,0.156838,22.10078,0.21175660000000002,0.10849980000000001
GALAXY,0.23140679999999997,1.9751429999999997e-05,21.1874,0.04633839,0.04565581,20.66639,0.04218648,0.03158448
GALAXY,0.5877139,0.00014369,22.80784,0.186692,0.08653047,21.26284,0.07835861,0.05986138
GALAXY,0.1120423,5.777753e-06,17.89805,0.006671384,0.04925406,17.41243,0.007040379,0.03407373
QSO,2.1272029999999997,0.000930397,20.37414,0.02183039,0.03528735,20.33419,0.03092666,0.02441163
QSO,2.550586,-1.0,21.30839,0.05143341,0.2997382,20.982770000000002,0.04965196,0.20735749999999997
GALAXY,0.44615,0.000194515,20.6797,0.09346636,0.1085762,18.95243,0.03171144,0.07511252
GALAXY,0.04555694,2.2011420000000002e-05,17.486060000000002,0.0059349419999999995,0.06077636,16.72574,0.004644095,0.04204481
GALAXY,0.3649633,0.0001343007,22.051170000000003,0.1272489,0.1253859,20.31229,0.03991437,0.08674137
GALAXY,0.049729199999999994,8.726573e-06,16.029020000000003,0.003307478,0.04390416,15.198210000000001,0.002685457,0.03037269
GALAXY,0.06383477,1.1631019999999999e-05,17.251820000000002,0.006304113,0.03381357,16.76076,0.006159624,0.02339207
GALAXY,0.7090121,0.00017278259999999997,23.81917,0.5896517,0.1188068,21.03675,0.07675659,0.08219003
GALAXY,0.100896,4.990894e-05,18.149079999999998,0.007303264,0.1328317,17.20413,0.005059235,0.09189237
GALAXY,0.3929317,0.0001006875,21.36103,0.08050112,0.11428769999999999,19.52039,0.02498751,0.07906369
GALAXY,0.542453,0.0002312505,21.80931,0.1421067,0.2345525,20.48206,0.06078021,0.1622624
GALAXY,0.5002696,0.0001299444,22.09763,0.1541655,0.1508609,20.35298,0.04890975,0.10436489999999998
GALAXY,0.5145514,0.00011848559999999999,22.130689999999998,0.1824353,0.07215825,20.20008,0.0478896,0.04991874
QSO,1.3032780000000002,0.001114055,20.50413,0.02246203,0.10955219999999999,20.25635,0.023280099999999998,0.07578772
GALAXY,0.07743599,2.455907e-05,18.018060000000002,0.006060655,0.05669757,17.12291,0.004756534000000001,0.03922312
GALAXY,0.1101739,4.539836e-06,17.86431,0.005643708000000001,0.06778955,17.60921,0.005727062,0.0468965
QSO,0.22967600000000002,4.0921259999999995e-05,18.35947,0.006804315,0.16802279999999997,18.125429999999998,0.006980695,0.1162374
GALAXY,0.14701570000000003,3.724075e-05,18.8876,0.01425418,0.2249212,17.81365,0.00872431,0.1555995
GALAXY,0.4133684,7.153382e-05,21.049770000000002,0.1095661,0.10378239999999998,19.1395,0.03058334,0.0717962
GALAXY,0.1514394,7.347764e-06,18.34945,0.008110183,0.08601432,17.783739999999998,0.007001078000000001,0.0595043
GALAXY,0.1532717,3.3405659999999995e-05,18.40154,0.01055936,0.08336198,17.281589999999998,0.006284355,0.05766943
GALAXY,0.6387754,0.00021869389999999998,22.68587,0.2608935,0.3918488,21.16396,0.09302657,0.27107919999999996
GALAXY,0.08504529,1.7728e-05,16.96588,0.005633176,0.21735610000000002,16.01845,0.0040641240000000006,0.1503659
GALAXY,0.5296871999999999,0.000118851,21.57396,0.09040885,0.04573631,20.22155,0.041458300000000003,0.03164017
GALAXY,0.5571673,0.0001234815,22.27647,0.15988070000000001,0.04788359,20.709239999999998,0.05756259,0.03312565
QSO,0.3509755,0.0001074826,19.685579999999998,0.01915966,0.04915125,19.14633,0.01673406,0.03400261
QSO,1.26959,0.0003383376,19.2034,0.01070364,0.03931481,18.94569,0.01066721,0.0271978
GALAXY,0.02093792,2.172826e-05,18.40764,0.01235323,0.0684562,17.77749,0.01082626,0.04735768
GALAXY,0.16815529999999998,1.337644e-05,18.244970000000002,0.01172714,0.17386970000000002,17.4644,0.009235443000000001,0.12028230000000001
GALAXY,0.41559799999999997,9.876851000000001e-05,21.27235,0.08862577,0.09114815,19.47935,0.02697378,0.06305587
GALAXY,0.4653477,0.0001347409,21.377670000000002,0.1555301,0.1480128,19.84212,0.06100923,0.1023946
GALAXY,0.2427935,3.92234e-05,19.41645,0.02084704,0.0627854,18.0487,0.01018238,0.04343465
GALAXY,0.14735789999999999,2.131188e-05,18.98872,0.01057137,0.16707049999999998,17.89109,0.006692073000000001,0.1155786
GALAXY,0.46243290000000004,0.00011764309999999999,22.41614,0.15128429999999998,0.04818134,20.608610000000002,0.04882665,0.03333163
GALAXY,0.008603605,9.019514e-06,17.4919,0.01208388,0.0418366,16.96143,0.01413267,0.02894237
GALAXY,0.1524131,3.2196e-05,18.48302,0.009355742,0.03939481,17.35964,0.005790105,0.02725315
GALAXY,0.2903099,5.544269e-05,19.989420000000003,0.02616728,0.0277092,18.43897,0.011462700000000001,0.019169099999999998
GALAXY,0.1484405,2.526339e-05,18.18613,0.007784144000000001,0.03690868,17.15399,0.005422078,0.02553325
GALAXY,0.3379788,1.3482339999999999e-05,21.0253,0.07034986,0.06162702,19.26553,0.02449969,0.04263329
QSO,1.509528,0.0002729751,19.24965,0.0109742,0.04831002,19.07263,0.01170701,0.03342065
GALAXY,0.7066778,0.0001465518,21.98791,0.15432320000000002,0.01976923,20.49215,0.066037,0.01367626
QSO,1.315935,0.0009883892,19.73395,0.01439547,0.04122244,19.12944,0.01177814,0.02851749
GALAXY,0.10593499999999999,1.172275e-05,17.95849,0.007521422,0.04099782,17.304289999999998,0.006359376999999999,0.028362099999999998
GALAXY,0.5316072,0.0001193198,21.83227,0.11455919999999999,0.04129026,20.28803,0.03912698,0.02856441
GALAXY,0.4139947,7.709305999999999e-05,21.04,0.04422102,0.06835232,19.29593,0.01681773,0.04728582
GALAXY,0.49041239999999997,6.71062e-05,21.01385,0.06784339,0.02660303,19.67357,0.03294292,0.01840385
GALAXY,0.2582758,6.745545e-05,18.75163,0.01640742,0.05124678,17.59207,0.009043176,0.03545229
GALAXY,0.3633181,5.6695519999999994e-05,19.88845,0.03793213,0.16089579999999998,18.3092,0.01533176,0.11130699999999999
